id,name,title,company,seniority_tier,industry_vertical,icp_score,source,linkedin_url,email,company_size,funding_stage,persona_summary,context_hook,personalization_themes,confidence_flag,assigned_to,outreach_status,in_sequence,enrichment_status,validation_notes
7,Mabel Chacko,Co-founder & COO,Open Financial Technologies,C-Suite,Fintech,5,scraped,,,,,"As Founder & CEO, this executive owns both product strategy and commercial outcomes. At a bootstrapped fintech operating in a margin-sensitive category, they are acutely focused on pricing strategy, competitive positioning, and unit economics as they scale without external capital to absorb mistakes.",Bootstrapped fintechs live and die by pricing discipline. Competitive benchmarking and real-time pricing intelligence directly impact their ability to acquire and retain customers without burning cash.,Maintaining competitive pricing edge without a large analytics team | Using data to defend margins as larger funded competitors undercut on price | Automating market intelligence that currently requires manual effort,MEDIUM,,pending,False,not_found,Output doesn't reference contact's company or role — too generic
20,Subbu Iyer,CEO,Giggr Technologies,C-Suite,SaaS/B2B,5,scraped,https://www.linkedin.com/in/subbu-iyer/,subbu.iyer@giggr.com,501–1000,seed,"As Founder & CEO, this executive owns both product strategy and commercial outcomes. At a bootstrapped fintech operating in a margin-sensitive category, they are acutely focused on pricing strategy, competitive positioning, and unit economics as they scale without external capital to absorb mistakes.",Bootstrapped fintechs live and die by pricing discipline. Competitive benchmarking and real-time pricing intelligence directly impact their ability to acquire and retain customers without burning cash.,Maintaining competitive pricing edge without a large analytics team | Using data to defend margins as larger funded competitors undercut on price | Automating market intelligence that currently requires manual effort,HIGH,,pending,False,enriched,
14,Kunal Bahl,Co-founder,Snapdeal & Titan Capital,C-Suite,D2C/Ecomm,5,scraped,https://www.linkedin.com/in/kunal-bahl/,kunal.bahl@snapdeal.com,51–200,series_a,"As Founder & CEO, this executive owns both product strategy and commercial outcomes. At a bootstrapped fintech operating in a margin-sensitive category, they are acutely focused on pricing strategy, competitive positioning, and unit economics as they scale without external capital to absorb mistakes.",Bootstrapped fintechs live and die by pricing discipline. Competitive benchmarking and real-time pricing intelligence directly impact their ability to acquire and retain customers without burning cash.,Maintaining competitive pricing edge without a large analytics team | Using data to defend margins as larger funded competitors undercut on price | Automating market intelligence that currently requires manual effort,HIGH,,pending,False,enriched,
16,Ananth Narayanan,Founder & CEO,Mensa Brands,C-Suite,D2C/Ecomm,5,scraped,,,,,"As Founder & CEO, this executive owns both product strategy and commercial outcomes. At a bootstrapped fintech operating in a margin-sensitive category, they are acutely focused on pricing strategy, competitive positioning, and unit economics as they scale without external capital to absorb mistakes.",Bootstrapped fintechs live and die by pricing discipline. Competitive benchmarking and real-time pricing intelligence directly impact their ability to acquire and retain customers without burning cash.,Maintaining competitive pricing edge without a large analytics team | Using data to defend margins as larger funded competitors undercut on price | Automating market intelligence that currently requires manual effort,HIGH,,pending,False,not_found,
13,Lalit Keshre,Co-founder & CEO,Groww,C-Suite,Fintech,5,scraped,https://www.linkedin.com/in/lalit-keshre/,lalit.keshre@groww.com,5000+,series_c,"As Founder & CEO, this executive owns both product strategy and commercial outcomes. At a bootstrapped fintech operating in a margin-sensitive category, they are acutely focused on pricing strategy, competitive positioning, and unit economics as they scale without external capital to absorb mistakes.",Bootstrapped fintechs live and die by pricing discipline. Competitive benchmarking and real-time pricing intelligence directly impact their ability to acquire and retain customers without burning cash.,Maintaining competitive pricing edge without a large analytics team | Using data to defend margins as larger funded competitors undercut on price | Automating market intelligence that currently requires manual effort,HIGH,,pending,False,enriched,
12,Rahul Chari,Founder & CTO,PhonePe,C-Suite,Fintech,5,scraped,https://www.linkedin.com/in/rahul-chari/,rahul.chari@phonepe.com,11–50,,"As Founder & CEO, this executive owns both product strategy and commercial outcomes. At a bootstrapped fintech operating in a margin-sensitive category, they are acutely focused on pricing strategy, competitive positioning, and unit economics as they scale without external capital to absorb mistakes.",Bootstrapped fintechs live and die by pricing discipline. Competitive benchmarking and real-time pricing intelligence directly impact their ability to acquire and retain customers without burning cash.,Maintaining competitive pricing edge without a large analytics team | Using data to defend margins as larger funded competitors undercut on price | Automating market intelligence that currently requires manual effort,HIGH,,pending,False,enriched,
11,Naveen Tewari,Founder & CEO,InMobi Group,C-Suite,SaaS/B2B,5,scraped,,,,,"As Founder & CEO, this executive owns both product strategy and commercial outcomes. At a bootstrapped fintech operating in a margin-sensitive category, they are acutely focused on pricing strategy, competitive positioning, and unit economics as they scale without external capital to absorb mistakes.",Bootstrapped fintechs live and die by pricing discipline. Competitive benchmarking and real-time pricing intelligence directly impact their ability to acquire and retain customers without burning cash.,Maintaining competitive pricing edge without a large analytics team | Using data to defend margins as larger funded competitors undercut on price | Automating market intelligence that currently requires manual effort,HIGH,,pending,False,not_found,
10,Nithin Kamath,Founder & CEO,Zerodha & Rainmatter,C-Suite,Fintech,5,scraped,https://www.linkedin.com/in/nithin-kamath/,nithin.kamath@zerodha.com,1001–5000,series_c,"As Founder & CEO, this executive owns both product strategy and commercial outcomes. At a bootstrapped fintech operating in a margin-sensitive category, they are acutely focused on pricing strategy, competitive positioning, and unit economics as they scale without external capital to absorb mistakes.",Bootstrapped fintechs live and die by pricing discipline. Competitive benchmarking and real-time pricing intelligence directly impact their ability to acquire and retain customers without burning cash.,Maintaining competitive pricing edge without a large analytics team | Using data to defend margins as larger funded competitors undercut on price | Automating market intelligence that currently requires manual effort,HIGH,,pending,False,enriched,
66,Rahul Dey,Co-founder & CEO,Haptik,C-Suite,SaaS/B2B,5,mock,https://www.linkedin.com/in/rahul-dey/,rahul.dey@haptik.com,1001–5000,seed,"As Founder & CEO, this executive owns both product strategy and commercial outcomes. At a bootstrapped fintech operating in a margin-sensitive category, they are acutely focused on pricing strategy, competitive positioning, and unit economics as they scale without external capital to absorb mistakes.",Bootstrapped fintechs live and die by pricing discipline. Competitive benchmarking and real-time pricing intelligence directly impact their ability to acquire and retain customers without burning cash.,Maintaining competitive pricing edge without a large analytics team | Using data to defend margins as larger funded competitors undercut on price | Automating market intelligence that currently requires manual effort,HIGH,,pending,False,enriched,
38,Rahul Suri,Director of Product,Rocketlane,C-Suite,SaaS/B2B,5,mock,,,,,"As Founder & CEO, this executive owns both product strategy and commercial outcomes. At a bootstrapped fintech operating in a margin-sensitive category, they are acutely focused on pricing strategy, competitive positioning, and unit economics as they scale without external capital to absorb mistakes.",Bootstrapped fintechs live and die by pricing discipline. Competitive benchmarking and real-time pricing intelligence directly impact their ability to acquire and retain customers without burning cash.,Maintaining competitive pricing edge without a large analytics team | Using data to defend margins as larger funded competitors undercut on price | Automating market intelligence that currently requires manual effort,HIGH,,pending,False,not_found,
